beer_full,beer_id
(512) Brewing Company (512) ALT,0
(512) Brewing Company (512) Black IPA,1
(512) Brewing Company (512) Bruin,2
(512) Brewing Company (512) Cab Tripel,3
(512) Brewing Company (512) Cascabel Cream Stout,4
(512) Brewing Company (512) English Strong Ale,5
(512) Brewing Company (512) Funky Kingston,6
(512) Brewing Company (512) IPA,7
(512) Brewing Company (512) Imperial Stout,8
(512) Brewing Company (512) Pale,9
(512) Brewing Company (512) Pecan Porter,10
(512) Brewing Company (512) Smash,11
(512) Brewing Company (512) TWO,12
(512) Brewing Company (512) Whiskey Barrel Aged Double Pecan Porter,13
(512) Brewing Company (512) White IPA,14
(512) Brewing Company (512) Wild Bear,15
(512) Brewing Company (512) Wit,16
(512) Brewing Company Double IPA,17
10 Barrel Brewing Co. 10 Barrel IPA,18
10 Barrel Brewing Co. Apocalypse IPA,19
10 Barrel Brewing Co. Apricot Crush,20
10 Barrel Brewing Co. Cucumber Crush,21
10 Barrel Brewing Co. DUB Double India Pale Ale,22
10 Barrel Brewing Co. Estonya Whiskey Barrel Aged Imperial Porter,23
10 Barrel Brewing Co. German Sparkle Party,24
10 Barrel Brewing Co. Goggle Tan,25
10 Barrel Brewing Co. ISA (India-Style Session Ale),26
10 Barrel Brewing Co. Joe IPA,27
10 Barrel Brewing Co. OG Wheat India Pale Ale,28
10 Barrel Brewing Co. Oregon Brown Ale,29
10 Barrel Brewing Co. Out Of Office Pils,30
10 Barrel Brewing Co. Pale Ale,31
10 Barrel Brewing Co. Pearl IPA,32
10 Barrel Brewing Co. Piña,33
10 Barrel Brewing Co. Power To The People Stout,34
10 Barrel Brewing Co. Pray For Snow,35
10 Barrel Brewing Co. Project Failed Red Ale,36
10 Barrel Brewing Co. Pub Beer,37
10 Barrel Brewing Co. Raspberry Crush,38
10 Barrel Brewing Co. Riding Solo Single Hop Pale Ale - Comet,39
10 Barrel Brewing Co. S1nist0r Black Ale,40
10 Barrel Brewing Co. Swill American Radler,41
10 Barrel Brewing Co. Swill Beer,42
101 North Brewing Company Golden Naked Ale,43
101 North Brewing Company Heroine India Pale Ale,44
101 North Brewing Company Naughty Aud,45
11 Below Brewing 7-Iron,46
11 Below Brewing Big Mistake,47
11 Below Brewing Color Blind Red IPA,48
11 Below Brewing Hipster Sauce,49
11 Below Brewing Lame Duck,50
11 Below Brewing Negative Space,51
11 Below Brewing Oso Bueno,52
12 Gates Brewing Company Coffee Porter,53
12 Gates Brewing Company West Coast IPA,54
14er Brewing Company Double Mt. Massive,55
14th Star Brewing Co. B-72,56
14th Star Brewing Co. Follow Me American IPA,57
14th Star Brewing Co. Gallantry,58
14th Star Brewing Co. Maple Breakfast Stout,59
14th Star Brewing Co. Tribute Double India Pale Ale,60
14th Star Brewing Co. Valor Ale,61
18th Street Brewery - Gary Taproom #7 Black IPA,62
18th Street Brewery - Gary Taproom 18th Street / Arizona Wilderness - Triumph,63
18th Street Brewery - Gary Taproom 18th Street / Mikkeller - Grapefruit Dead,64
18th Street Brewery - Gary Taproom Act Of Defiance,65
18th Street Brewery - Gary Taproom Barrel Aged Bitches' Bank,66
18th Street Brewery - Gary Taproom Barrel Aged Hunter Coffee,67
18th Street Brewery - Gary Taproom Barrel Aged Hunter Vanilla,68
18th Street Brewery - Gary Taproom Bitches' Bank,69
18th Street Brewery - Gary Taproom Black Exodus,70
18th Street Brewery - Gary Taproom Bourbon Barrel Aged Hunter,71
18th Street Brewery - Gary Taproom Candi Crushable,72
18th Street Brewery - Gary Taproom Cascade Express,73
18th Street Brewery - Gary Taproom Chloe,74
18th Street Brewery - Gary Taproom Cone Crusher IPA,75
18th Street Brewery - Gary Taproom Deal With The Devil,76
18th Street Brewery - Gary Taproom Devil In The Rye,77
18th Street Brewery - Gary Taproom Devil's Cup,78
18th Street Brewery - Gary Taproom Devil’s Conclave,79
18th Street Brewery - Gary Taproom Disciple's Revenge,80
18th Street Brewery - Gary Taproom Dozer,81
18th Street Brewery - Gary Taproom Ed PA,82
18th Street Brewery - Gary Taproom Euro Skinny Jeans,83
18th Street Brewery - Gary Taproom For Rent,84
18th Street Brewery - Gary Taproom Foreman,85
18th Street Brewery - Gary Taproom Galaxy Slayer,86
